capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Tirana,2003,15.67013698630137,7.441307801345812,761.4,83,2.94,1,43954.209397260274,35361.70391780822,2,Albania,41.328888888,19.817777777
Tokyo,2003,14.538630136986303,7.736908530726306,1716.7,137,7.91,4,43870.515013698634,25969.338794520547,2,Japan,35.689444444,139.691666666
Tripoli,2003,20.81876712328767,6.176578399776562,170.20000000000002,33,0.0,0,43835.987534246575,38029.607808219174,4,Libya,32.87519,13.18746
Tórshavn,2003,7.991506849315069,3.3930251952961497,765.2,161,31.5,10,44761.32682191781,22572.919589041096,0,Faroe Islands,62.00981,-6.77135
Ulaanbaatar,2003,-0.24000000000000007,13.292831043192308,360.9,54,79.94,28,44089.0937260274,33833.022547945206,2,Mongolia,47.921357,106.905515
Vaduz,2003,9.767945205479453,8.818972268077566,779.6,109,147.21,33,44070.5378630137,31822.291643835615,2,Liechtenstein,47.140555555,9.522222222
Valletta,2003,19.33178082191781,5.716879370080217,512.3,75,0.0,0,43873.27819178082,37031.28520547945,1,Malta,35.897777777,14.5125
Victoria,2003,26.33986301369863,0.9657492865541789,1693.2,210,0.0,0,43602.941123287674,37156.59501369863,3,Seychelles,-4.623611111,55.454444444
Vienna,2003,10.63890410958904,9.391118753007412,414.7,83,43.19,11,44096.065616438354,30971.662246575343,2,Austria,48.208333333,16.3725
Vientiane,2003,25.98246575342466,3.018481433948727,1624.3,152,0.0,0,43705.20512328767,34096.99471232877,1,Laos,17.98,102.63
Vilnius,2003,6.743150684931507,9.236875583248834,482.4,94,98.7,28,44300.69736986301,24258.429753424654,0,Lithuania,54.687222222,25.28
Warsaw,2003,8.340958904109588,9.242230203415293,455.6,94,53.83,19,44211.05120547945,27171.879479452055,2,Poland,52.23,21.011111111
Wellington,2003,13.268219178082191,2.77209968347563,806.7,115,0.14,0,43600.00189041096,34341.70671232876,1,New Zealand,-41.288888888,174.777222222
Windhoek,2003,19.816986301369862,4.730838936860471,286.5,40,0.0,0,43573.11210958904,39735.85126027397,4,Namibia,-22.57,17.083611111
Yamoussoukro,2003,27.011095890410957,1.4771218316763652,997.8,190,0.0,0,43644.151479452055,32154.638109589043,3,Ivory Coast,6.816111111,-5.274166666
Yaoundé,2003,24.190273972602743,1.2260037069960128,1599.5,247,0.0,0,43631.666219178085,30487.988547945206,3,Cameroon,3.857777777,11.518055555
Yaren District,2003,27.494520547945207,0.6769944914637236,2197.5,218,0.0,0,43615.596657534246,36975.06380821917,3,Nauru,-0.5477,166.920867
Yerevan,2003,10.017945205479453,9.968405440688912,625.7,111,69.79,20,43935.6301369863,36941.356602739725,2,Armenia,40.181388888,44.514444444
Zagreb,2003,11.894931506849314,9.809969576199261,602.6,81,54.46,7,44040.456630136985,32189.108684931507,2,Croatia,45.813055555,15.977222222
